public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
POINT (-6.2698824 53.3752996),childcare,Bizzy B's,Glasnevin Hill,,Dublin
POINT (-6.2763195 53.3996838),pharmacy,Poppintree Pharmacy,Poppintree Parade,,
POINT (-6.2645644 53.3950604),pharmacy,McCabes,Ballymun Road,,Dublin
POINT (-6.3014551 53.4022648),childcare,The Toddle Inn Playschool,Century Business Park,,Dublin
POINT (-6.3023869 53.4038793),bank,Ulster Bank,Saint Margaret's Road,Ulster Bank,Dublin
POINT (-6.2862845 53.4179912),post_depot,Kuehne + Nagel,Horizon Logistics Park,,Dublin
POINT (-6.3033501 53.4038301),doctors,Charlestown Medical Centre,Saint Margaret's Road,,Dublin
POINT (-6.4200149 53.3925734),social_facility,Hartstown Day Activity Centre,,,
POINT (-6.3922605 53.3922401),bank,Credit Union,,,
POINT (-6.3983029 53.403004),doctors,Riverside Medical Centre,Old Navan Road,,
POINT (-6.398501 53.4030519),post_office,Mulhuddart Post Office,Old Navan Road,An Post,
POINT (-6.3966452 53.4020684),kindergarten,The Cottage Playschool,Old Navan Road,,
POINT (-6.3917662 53.4084045),place_of_worship,Our Lady’s Well,,,
POINT (-6.2679149 53.360273),place_of_worship,Mortuary Chapel of Repose,North Circular Road,,
POINT (-6.3753248 53.3573693),veterinary,Palmerstown Veterinary Hospital,Old Lucan Road,,Dublin
POINT (-6.3754093 53.3572811),doctors,Palmerstown Medical Centre,Aldi Complex,,Dublin
POINT (-6.3754508 53.3571902),pharmacy,Palmerstown Pharmacy,Aldi Complex,,Dublin
POINT (-6.3712637 53.355501),doctors,,,,
POINT (-6.2588686 53.3596332),doctors,,Belvidere Road,,Dublin
POINT (-6.3022138 53.3632931),pharmacy,Mangans AllCare,Navan Road,,Dublin
POINT (-6.5873898 53.3844371),kindergarten,Tiddlywinks & Scallywags,Carton Square,,Maynooth
POINT (-6.2612906 53.3547141),childcare,,North Great George's Street,,Dublin
POINT (-6.5913555 53.381594),doctors,Philemon Psychology,Main Street,,Maynooth
POINT (-6.2868666 53.3648887),post_office,Cabra Post Office,Fassaugh Road,An Post,
POINT (-6.2654732 53.3887887),bank,Progressive Credit Union,Ballymun Road,,
POINT (-6.4152845 53.5226466),doctors,Roc Doc,Ashbourne Retail Park,,Ashbourne
POINT (-6.5936669 53.3818411),school,Maynooth Adult Learning Centre,,,
POINT (-6.5939931 53.3817269),school,Maynooth Post Primary School,,,
POINT (-6.5938918 53.3817667),place_of_worship,Maynooth Community Church,Mill Street,,
POINT (-6.2979536 53.3891005),library,Finglas Library,Jamestown Road,,Dublin
POINT (-6.5396449 53.5114781),bank,Dunshaughlin Credit Union,Main Street,,Dunshaughlin
POINT (-6.263318 53.3950984),clinic,Ballymun Health Care Facility,Ballymun Road,,
POINT (-6.258794 53.4014608),clinic,Santry GP,,,
POINT (-6.2947156 53.4184553),post_depot,DHL,Horizon Logistic Park,DHL,
POINT (-6.3968153 53.4375792),veterinary,Kilmartin Grain,,,
POINT (-6.3766349 53.3866898),clinic,Medical Cantre,,,
POINT (-6.3767803 53.3867816),pharmacy,Lloyds Pharmacy,,Lloyds Pharmacy,
POINT (-6.3635665 53.4116552),place_of_worship,The Kingdom Center,Blanchardstown Corporate Park 2,,Blanchardstown
POINT (-6.3625591 53.4119011),veterinary,Cara Veterinary Hospital,,,
POINT (-6.3706614 53.3740773),childcare,Park Drive Day Nursery,,,
POINT (-6.4650757 53.5070483),pharmacy,Stacks pharmacy,,,
POINT (-6.3271028 53.3781324),kindergarten,Giraffe,Rathborne Place,,
POINT (-6.2707695 53.401056),school,St. Joseph's Senior & Junior Co-ed National School,,,
POINT (-6.2677504 53.5219816),kindergarten,,,,
POINT (-6.2662988 53.5176999),post_office,Ballyboughal Post Office,Naul Road,An Post,
POINT (-6.2638938 53.3950178),pharmacy,Edward Mac Manus Pharmacy,Ballymun Road,,
POINT (-6.2647834 53.3914486),school,Scoil an tSeachtar Laoch,Ballymun Road,,
POINT (-6.4067504 53.3824781),doctors,Healthwell Clinic,,,
POINT (-6.2985126 53.3899706),bank,Bank of Ireland,,Bank of Ireland,
POINT (-6.2638474 53.3967714),pharmacy,Edward MacManus,Ballymun Road,,
POINT (-6.2638437 53.395193),bank,AIB,Ballymun Road,AIB,
POINT (-6.2637638 53.39529),bank,Ballygall Credit Union,Ballymun Road,,
POINT (-6.2645683 53.3951999),post_office,Ballymun Post Office,Ballymun Road,An Post,
POINT (-6.2612174 53.3882036),doctors,Mary Moore,Collins Avenue,,
POINT (-6.2612427 53.3881527),doctors,Dr. P.N. Fitzgerald,Collins Avenue,,
POINT (-6.2596673 53.3524184),place_of_worship,St. Thomas Indian Orthodox Church,Cathal Brugha Street,,
POINT (-6.4634404 53.5073103),pharmacy,Kavanagh's Pharmacy,Main Street,,Ratoath
POINT (-6.268246 53.3570031),pharmacy,Dargan's Pharmacy,Berkeley Street,,Dublin
POINT (-6.5402415 53.5133572),pharmacy,CarePlus Pharmacy,Main Street,,Dunshaughlin
POINT (-6.410839 53.5174795),social_facility,Ashbourne Youth Reach,Ashbourne Industrial Estate,,Ashbourne
POINT (-6.2597133 53.4057456),clinic,SSC Sports Medicine,,,
POINT (-6.2601634 53.3612415),pharmacy,Park's Pharmacy,Dorset Street Lower,,
POINT (-6.3628301 53.3747148),kindergarten,Castleknock Montessori,,,
POINT (-6.3629105 53.3750425),doctors,Generation Healthcare,,,
POINT (-6.3632117 53.3747888),clinic,Oakwood Medical Clinic,,,
POINT (-6.3177868 53.3679357),doctors,Familyclinic.ie,Navan Road,,Dublin
POINT (-6.2735871 53.3607303),pharmacy,Richard Collins Pharmacy,North Circular Road,,
POINT (-6.2678709 53.3569579),doctors,The Berkeley Clinic,Berkeley Street,,
POINT (-6.2697882 53.3586913),post_office,Berkeley Road Post Office,Berkeley Road,An Post,
POINT (-6.2697066 53.3586),doctors,Medical Consulting Rooms - Number 12,Berkeley Road,,
POINT (-6.2700262 53.3589858),pharmacy,,Berkeley Road,,
POINT (-6.2744891 53.4029626),childcare,,,,
POINT (-6.2658825 53.3977305),social_facility,The Star Project,Balcurris Road,,
POINT (-6.2646975 53.3929514),kindergarten,Naíonra an tSeachtar Laoch,Ballymun Road,,
POINT (-6.393929 53.3911988),courthouse,Blachardstown Courthouse,Grove Road,,
POINT (-6.4394543 53.3955463),kindergarten,Early Learners Montessori,Main Street,,
POINT (-6.4399654 53.3949831),school,Brushstrokes,Sweeney Mews,,
POINT (-6.2658696 53.3579086),doctors,Kieran O’Malley Consultant,Eccles Street,,
POINT (-6.3611978 53.3733994),post_office,Castleknock Post Office,,An Post,
POINT (-6.2649555 53.3528298),childcare,The Children's Place Creche,Parnell Square West,,
POINT (-6.3117225 53.3844971),post_office,Cardiffsbridge Road Post Office,Cardiffsbridge Road,An Post,Dublin
POINT (-6.3121622 53.3845067),pharmacy,Hickey's,Cardiffsbridge Road,,Dublin
POINT (-6.5964514 53.3849304),school,Maynooth Community College,,,
POINT (-6.5957991 53.3844223),school,Post Primary School Maynooth,,,
POINT (-6.3557821 53.3561894),school,Saint Michael's School Holy Angels,,,
POINT (-6.4757047 53.4263662),childcare,Kidology Childcare,Dunboyne Business Park,,Dunboyne
POINT (-6.383408 53.4203658),place_of_worship,Tyrrelstown Methodist Centre,Tyrrelstown Avenue,,Tyrrelstown
POINT (-6.4406289 53.4102864),pharmacy,Clonee Pharmacy,Old Navan Road,,
POINT (-6.2593082 53.3557804),place_of_worship,City Masjid,Grenville Lane,,Dublin
POINT (-6.3695961 53.4092159),bank,Bank of Ireland,Cruiserath Road,Bank of Ireland,
POINT (-6.5708423 53.4230985),kindergarten,Kilcloon Pre-School,Brownstown,,Kilcloon
POINT (-6.3106499 53.363605),post_office,Villa Park Gardens Post Office,Nephin Road,An Post,Dublin
POINT (-6.532709 53.4368312),social_facility,Dunboyne Nursing Home,Summerhill Road,,Dunboyne
POINT (-6.4902701 53.3638456),bank,Croí Laighean Credit Union,,,
POINT (-6.263948 53.3511241),pharmacy,Lloyds Pharmacy,Parnell Street,Lloyds Pharmacy,
POINT (-6.4926368 53.3633799),pharmacy,Ryevale Pharmacy,,,
POINT (-6.4730233 53.3670364),place_of_worship,St Catherine's Well,,,
POINT (-6.4945586 53.3646859),place_of_worship,The Covered Well,,,
POINT (-6.4961184 53.3657644),doctors,Mount Martin Surgery,Old Hill,,Leixlip
POINT (-6.4882481 53.3722701),doctors,Boyd Medical,Riverforest,,Leixlip
POINT (-6.5041621 53.3660817),childcare,Green Lane Montessori & After School Care,Oaklawn,,
POINT (-6.4992304 53.3625678),doctors,Kelly Medical Centre,,,
POINT (-6.5174917 53.364957),doctors,Gleneaston Medical Centre,,,
POINT (-6.4925681 53.3634456),doctors,Ryevale Medical,,,
POINT (-6.4886677 53.3648568),veterinary,Leixlip Veterinary Hospital,,,
POINT (-6.2965974 53.3831988),post_office,Finglas South Post Office,Finglas Road,An Post,Dublin
POINT (-6.306397 53.3725271),childcare,D7 Afterschool Care Limited,Ratoath Road,,Dublin
POINT (-6.2945757 53.3686999),kindergarten,Fledglings,Kilkieran Road,,Dublin
POINT (-6.3083821 53.3763526),social_facility,Sankalpa,Glasnevin Business Centre,,Dublin
POINT (-6.362668 53.3733243),pharmacy,Lloyds Pharmacy,Castleknock Road,Lloyds Pharmacy,
POINT (-6.3152355 53.4087572),veterinary,,,,
POINT (-6.2561223 53.3982616),school,Gaelscoil Bhaile Munna,,,
POINT (-6.3913076 53.3933105),pharmacy,Allcare Pharmacy,,,
POINT (-6.3819054 53.3836683),pharmacy,Sheridan's,,,
POINT (-6.361729 53.3732922),veterinary,Village Vets,,,
POINT (-6.3620133 53.3731999),clinic,Castleknock Village Clinic,,,
POINT (-6.4155146 53.5219055),pharmacy,Chemist Warehouse,Ashbourne Retail Park,,Ashbourne
POINT (-6.3210166 53.3782668),school,Pelletstown Educate Together National School,Rathborne Vale,,Dublin
POINT (-6.4586834 53.5067915),pharmacy,Lilly's,,,Ratoath
POINT (-6.46213 53.5076194),pharmacy,Ratoath Pharmacy,Main Street,,Ratoath
POINT (-6.4678109 53.5054303),veterinary,Kelly Veterinary Hospital,Centre Point,,Ratoath
POINT (-6.4627633 53.5098632),social_facility,Ratoath Mens Shed,Skryne Road,,Ratoath
POINT (-6.554712 53.5158828),kindergarten,,,,
POINT (-6.4028912 53.5096394),kindergarten,,Castle Street,,Ashbourne
POINT (-6.4072832 53.5181485),childcare,Tigers Childcare,Rath Lodge,,Ashbourne
POINT (-6.396887 53.5182058),childcare,Bumblebee Daycare,Racehill Road,,Asbbourne
POINT (-6.3929998 53.5069145),doctors,The Maple Clinic,Dublin Road,,Ashbourne
POINT (-6.4001004 53.5113244),doctors,Ashbourne Medical Centre,,,Ashbourne
POINT (-6.399973 53.5107565),bank,Permanent TSB,,Permanent TSB,
POINT (-6.4011029 53.5114153),social_facility,Citizens Information,,,
POINT (-6.4019324 53.5112718),kindergarten,Cazzy Cuddles Preschool,Killegland Street,,Ashbourne
POINT (-6.4012497 53.5124042),clinic,Ashbourne Primary Care Centre,Declan Street,,Ashbourne
POINT (-6.4012618 53.5124528),doctors,Ashbourne Family Practice,,,Ashbourne
POINT (-6.2602774 53.3508504),police,O'Connell Street Garda Station,O'Connell Street Upper,,Dublin
POINT (-6.2692624 53.3596453),clinic,"Mental health services, in-patient",,,
POINT (-6.3611813 53.3730897),pharmacy,Lynch's All are Pharmacy,,,
"POLYGON ((-6.3833406 53.3819492, -6.383899 53.3828692, -6.3842669 53.3834552, -6.384407 53.3837211, -6.3843299 53.3837369, -6.3841857 53.3837664, -6.3840854 53.383592, -6.3839843 53.3834549, -6.3838816 53.3834357, -6.3837876 53.3834419, -6.3831072 53.3839003, -6.3828995 53.3839592, -6.3827481 53.3838687, -6.382524 53.3834939, -6.3822775 53.3830641, -6.3822685 53.3829781, -6.382463 53.3828502, -6.3821248 53.382267, -6.3833406 53.3819492))",school,Saint Francis Xavier National Schools,,,
"POLYGON ((-6.3974584 53.3859437, -6.3976738 53.3869912, -6.3983397 53.3870729, -6.3984638 53.387766, -6.3976216 53.3878517, -6.3972429 53.3877349, -6.3972756 53.3869016, -6.3973735 53.3868237, -6.3972037 53.385971, -6.3974584 53.3859437))",school,Scoil Olibhéar,,,
"POLYGON ((-6.3984882 53.3879515, -6.3984783 53.3880946, -6.3981808 53.3885626, -6.3977513 53.388943, -6.3972743 53.3892641, -6.3969576 53.3894072, -6.39664 53.389502, -6.3963493 53.3895683, -6.396051 53.3895328, -6.3954681 53.3896416, -6.3950381 53.3897072, -6.3948331 53.3896893, -6.3946231 53.3896446, -6.3943281 53.3895163, -6.394269 53.3894881, -6.3944103 53.3893793, -6.3945054 53.389178, -6.3945055 53.3882771, -6.3946288 53.3875772, -6.394751 53.3865269, -6.3956667 53.3862571, -6.3966659 53.386052, -6.3971534 53.3859823, -6.3973199 53.3867849, -6.3972222 53.3868925, -6.3972111 53.3878185, -6.3978253 53.3879154, -6.3981277 53.387908, -6.3984051 53.3878328, -6.3984882 53.3879515))",school,Coolmine Community School,,,
"POLYGON ((-6.3420082 53.3977725, -6.3407527 53.397742, -6.3407582 53.3976704, -6.3403233 53.3976596, -6.3402872 53.3981364, -6.3403948 53.3981393, -6.340383 53.3982957, -6.3415856 53.398321, -6.3419873 53.3980553, -6.3420082 53.3977725))",post_depot,GLS,Stadium Business Park,,
"POLYGON ((-6.3492888 53.4032269, -6.3489858 53.403002, -6.3487969 53.4030924, -6.3487856 53.403084, -6.3486015 53.4031721, -6.3486128 53.4031805, -6.3481136 53.4034194, -6.347986 53.4033246, -6.3478475 53.4033908, -6.3482782 53.4037106, -6.3492888 53.4032269))",post_depot,DPD,,DPD,
"POLYGON ((-6.4734404 53.4197447, -6.4730326 53.4201064, -6.4730081 53.4200976, -6.4729783 53.4201008, -6.4729469 53.4201064, -6.4729173 53.4201093, -6.4728822 53.4201094, -6.4728578 53.4201018, -6.4728303 53.4200882, -6.4728167 53.4200711, -6.4728161 53.4200575, -6.4728132 53.4200346, -6.4728076 53.4200176, -6.4727838 53.4200091, -6.4730804 53.4197164, -6.4729685 53.4196704, -6.4730611 53.4195885, -6.4731626 53.4196359, -6.4734404 53.4197447))",place_of_worship,Saint Peter's Church,,,
"POLYGON ((-6.2956133 53.3681084, -6.2957433 53.3675664, -6.2957768 53.3675719, -6.295792 53.3675319, -6.2958622 53.367538, -6.295866 53.3675332, -6.2958768 53.3675345, -6.2959237 53.36754, -6.2959659 53.3675427, -6.2960465 53.367548, -6.296044 53.3675589, -6.296117 53.3675655, -6.2961133 53.3675798, -6.2961021 53.3676238, -6.2959675 53.3681394, -6.2956133 53.3681084))",place_of_worship,Church of the Most Precious Blood,Fassaugh Avenue,,Dublin
"POLYGON ((-6.2863604 53.3629899, -6.2860135 53.3629776, -6.2860113 53.3629997, -6.2857893 53.3629918, -6.2857915 53.3629698, -6.2856435 53.3629645, -6.2856465 53.3629348, -6.2855391 53.362931, -6.2855499 53.3628232, -6.2855704 53.3628239, -6.2855787 53.3627407, -6.2856654 53.3627438, -6.2856634 53.3627648, -6.2857641 53.3627684, -6.285761 53.3627992, -6.2858048 53.3628007, -6.2858073 53.3627755, -6.286023 53.3627831, -6.2860258 53.3627546, -6.2861389 53.3627586, -6.2861336 53.3628124, -6.2863772 53.362821, -6.2863604 53.3629899))",place_of_worship,Christ the King,Offaly Road,,
"POLYGON ((-6.2588385 53.386035, -6.2589069 53.3859638, -6.2590853 53.386027, -6.2590129 53.3861006, -6.2588385 53.386035))",bank,Bank of Ireland,,Bank of Ireland,
"POLYGON ((-6.2627267 53.4268398, -6.2630821 53.4270573, -6.2628499 53.427192, -6.2627702 53.4271432, -6.2625158 53.4272909, -6.2622278 53.427458, -6.261952 53.4272892, -6.2622364 53.4271242, -6.2627267 53.4268398))",fire_station,Dublin Airport Fire Station,,,Dublin Airport
"POLYGON ((-6.4128651 53.3831428, -6.4130164 53.3828642, -6.4129294 53.3828473, -6.4130357 53.3826517, -6.4128684 53.3826193, -6.4127867 53.3827697, -6.4127599 53.3827646, -6.4126499 53.382967, -6.4126652 53.38297, -6.4125992 53.3830914, -6.4128651 53.3831428))",place_of_worship,The Church of Jesus Christ of Latter-day Saints,Clonsilla Road,,
"POLYGON ((-6.4058678 53.3715399, -6.4057063 53.3717768, -6.4055489 53.3717386, -6.4056519 53.3715873, -6.4055846 53.371571, -6.4056289 53.371506, -6.4056962 53.3715223, -6.4057103 53.3715017, -6.4058678 53.3715399))",place_of_worship,St Mochta's Church,,,
"POLYGON ((-6.2677768 53.3727075, -6.2680419 53.3727745, -6.2680516 53.372813, -6.268224 53.372856, -6.2680747 53.3730707, -6.2678263 53.3730122, -6.2678061 53.3730274, -6.2675885 53.3729747, -6.2677768 53.3727075))",place_of_worship,Our Lady of Dolours,,,
"POLYGON ((-6.389919 53.3895533, -6.3900536 53.3896743, -6.3895017 53.3898926, -6.3893843 53.3897871, -6.3893671 53.3897716, -6.389919 53.3895533))",bank,AIB,,AIB,
"POLYGON ((-6.3750721 53.3850505, -6.3750738 53.3850795, -6.3751473 53.385078, -6.3751501 53.3851274, -6.3750779 53.3851289, -6.3750801 53.3851673, -6.3746412 53.3851762, -6.3746409 53.3851712, -6.3745923 53.3851722, -6.3745881 53.3850986, -6.3745277 53.3850999, -6.3745019 53.3851391, -6.3745322 53.3851451, -6.3745145 53.3851769, -6.3741899 53.3851125, -6.3742502 53.3850093, -6.3743692 53.3850361, -6.3743836 53.3850237, -6.3746522 53.3850158, -6.3746628 53.3850086, -6.3746452 53.384987, -6.3746388 53.3849653, -6.3746482 53.3849343, -6.3746716 53.3849084, -6.3747051 53.3848847, -6.3747578 53.3848698, -6.3747951 53.3848628, -6.3748423 53.384869, -6.3748787 53.3848785, -6.3748511 53.3849027, -6.3748866 53.3849253, -6.3748924 53.3849457, -6.3748963 53.3850109, -6.3750042 53.3850087, -6.3750067 53.3850518, -6.3750721 53.3850505))",place_of_worship,Saint Brigid's Church,Church Avenue,,Blanchardstown
"POLYGON ((-6.3633674 53.3731633, -6.3636862 53.3731146, -6.3637137 53.3731786, -6.3637715 53.3731697, -6.3637894 53.3732114, -6.3637316 53.3732202, -6.3637595 53.373285, -6.3634407 53.3733338, -6.3634177 53.3732803, -6.3633578 53.3732895, -6.3633259 53.3732152, -6.3633858 53.373206, -6.3633674 53.3731633))",place_of_worship,Saint Brigid's Church,Castleknock Road,,Castleknock
"POLYGON ((-6.388262 53.369725, -6.3888212 53.3689246, -6.3878189 53.3687194, -6.3867435 53.3684936, -6.3863973 53.3690171, -6.3862213 53.3693604, -6.3863161 53.3694027, -6.387614 53.3696538, -6.387662 53.3696324, -6.388262 53.369725))",school,"Saint Patrick's National School, Diswellstown",,,
"POLYGON ((-6.3790455 53.3783638, -6.3784659 53.3781055, -6.3788058 53.3778468, -6.3782132 53.3775235, -6.3778972 53.3773767, -6.3767515 53.37828, -6.3778485 53.3787273, -6.378395 53.3788244, -6.3785387 53.3788304, -6.3787014 53.378649, -6.3789219 53.3784727, -6.3790455 53.3783638))",school,Scoil Thomáis,,,
"POLYGON ((-6.3798488 53.3779833, -6.3798423 53.3780138, -6.3798018 53.3780538, -6.379529 53.3781593, -6.3788388 53.3778319, -6.3789501 53.3777513, -6.3790375 53.3777942, -6.3793181 53.377573, -6.3797138 53.377842, -6.3798191 53.3779327, -6.3798488 53.3779833))",kindergarten,Castleknock Creche and Day Nursery,Castleknock Rise,,
"POLYGON ((-6.3892002 53.3714471, -6.3892687 53.3715377, -6.3901435 53.3726953, -6.3921145 53.3722363, -6.3930735 53.3721678, -6.3929945 53.3704416, -6.3892002 53.3714471))",school,Castleknock Community College,,,
"POLYGON ((-6.4082719 53.3906892, -6.4082488 53.3908372, -6.4082511 53.3908694, -6.408106 53.3909224, -6.4078476 53.390894, -6.4078952 53.3907495, -6.4077728 53.3907359, -6.4077984 53.3906501, -6.4082719 53.3906892))",place_of_worship,Saint Philip's,,,
"POLYGON ((-6.4061936 53.3892839, -6.4078325 53.3893268, -6.4078101 53.3897475, -6.4085703 53.3898375, -6.4086726 53.3898571, -6.4085548 53.3901534, -6.4085301 53.3906183, -6.4071031 53.3905209, -6.4070444 53.3905786, -6.4068091 53.3905103, -6.4061693 53.3903926, -6.4062279 53.3903117, -6.4063427 53.3899138, -6.4061936 53.3892839))",school,Saint Philip's National Schools,,,
"POLYGON ((-6.3953443 53.3844414, -6.3964654 53.3843264, -6.3965864 53.3846073, -6.3966223 53.3847437, -6.3965416 53.3848159, -6.3957255 53.3849844, -6.3953443 53.3844414))",fire_station,Blanchardstown Fire Station,,,Blanchardstown
"POLYGON ((-6.413798 53.413108, -6.4130685 53.4129545, -6.4131543 53.4127959, -6.4127938 53.4127192, -6.4122445 53.4136042, -6.4129655 53.4137628, -6.4129912 53.4137117, -6.4133861 53.4137935, -6.413798 53.413108))",post_depot,Masterlink,,,
"POLYGON ((-6.4613807 53.5073508, -6.4614041 53.5073246, -6.4614505 53.5073392, -6.4614817 53.5073042, -6.4615272 53.5073185, -6.4614651 53.5073882, -6.4615279 53.507408, -6.4614435 53.5075026, -6.4612891 53.5074539, -6.4612736 53.5074713, -6.4609257 53.5073617, -6.4609674 53.5073149, -6.4609914 53.5072879, -6.461033 53.5072412, -6.4613807 53.5073508))",place_of_worship,Church of the Holy Trinity,,,Ratoath
"POLYGON ((-6.465262 53.5025704, -6.4649197 53.5032383, -6.4647886 53.5033698, -6.4636754 53.503291, -6.4639224 53.5018705, -6.4639575 53.5016686, -6.465715 53.5020298, -6.4669528 53.5022842, -6.46692 53.502369, -6.4667795 53.5027768, -6.4668346 53.5028335, -6.465262 53.5025704))",school,Ratoath Senior National School,Fairyhouse Road,,Ratoath
"POLYGON ((-6.4582034 53.4977592, -6.4594589 53.4979822, -6.4594049 53.4984948, -6.4592272 53.4990952, -6.4591508 53.4996935, -6.4590806 53.4999493, -6.458964 53.5001744, -6.4580423 53.5001343, -6.4579561 53.5001276, -6.4579462 53.5001268, -6.4570024 53.5000837, -6.4559193 53.5000351, -6.455966 53.4999258, -6.4561085 53.499619, -6.4561684 53.4994442, -6.4562631 53.4987791, -6.4565515 53.4980722, -6.4566455 53.4975016, -6.4573642 53.4976318, -6.4582034 53.4977592))",school,Ratoath College,,,Ratoath
